|Content|Sentiment
0|Yo espero tranquila. Si gana de nvo alg partido tradicional, después sé q podré pasarla mal, pero tamb me voy a reír bastante.|NEU
1|Los fracasos de Michelle, Cristina y Dilma muestra que no sólo las izquierdas no son mejores, sino que las mujeres tp gobiernan tan bien|N
2|Debemos orar por los hnos venezolanos gente q es rehén hoy de la crisis en su país.Yo tengo amigos venezolanos q me preocupan en serio...|N
3|Me dijo que no le había gustado no se cuantas cosas pero me estuvo hablando todo el tiempo de eso JAJAJAJJA no entiendo loco|NEU
4|@susanagkp jajaja yo fui el viernes ! precavido pero el finde pasado no fui a la feria y quería ir pero ya veo que toca esperar...|N
5|iba a ir a la feria pero me encuentro que llovió y esta bastante feo así que procedo a meterme en la cama otro rato|N
6|@VirginiaBfo en ese baile conocí a mi ex y esa fue mi ruina ! y trabajé en un baile muy bueno desde los 21 a los 28|N
7|necesito un amigo que me acompañe al oftalmólogo porque me voy a quedar ciega por unas horas igual si no pueden voy sola está bien|NEU
8|Está demás porque mucha gente piensa que soy lesbiana. Saben donde se pueden meter sus estereotipos no? Si, ahí donde no les llega el sol|N
9|@letifcosta @letsgroove27 le dijo que estaba pronta pero que se iba a cambiar y que era hora de que el se fuera....de su vida ! + o -|N
10|@mvdsister Para mí son los sábados. Entre semana no estoy por ahí. La bondiola y el carpaccio de salmón, con entrada de jamón ibérico|NONE
11|Bnas tardes/ noches a todos, mis amigos! Otro partido de la celeste q me pierdo x el trabajo. Espero q esta vez tengamos mejor result!|NEU
12|@Exidax no seas tan bueno|NEU
13|No quiero hacerme otra credencial|N
14|@veronica_alonso @RamelaCarlos dice q no existe clase media de donde cree q sale $$ para las subvenciones, de Disney?, ah no, tampoco.|N
15|"le dije a mi mamá si podiamos salir hoy ya que esta re lindo el día y me dice ""tu padre y yo tenemos un cumpleaños hoy"""|NEU
16|estoy pensando q a esta hora estaría viajando a argentina necesito q me peguen un balazo y me revivan desp del maximus ahre ni me revivan|N
17|Hoy es el cumpleaños de mi mamá y estoy con un sentimiento encontrado de querer ir corriendo a abrazarla y comer rico y reírnos all day.|P
18|"@porlagoma bueh, recién entrando a twitter y me puse a verlos.... YA ME TERMINÉ DE DESPERTAR"", fuerte, el de GiancarloStanton ufff"|NEU
19|@Brendadema Hola Brenda, por favor envianos tu mail de usuario por MD para que veamos qué sucedió ya que la promo está activa Saludos.|NONE
20|@Adri_tranqui si ? jaja muy bueno ! miré mucha tele y me vi muchas series las veíamos con mi viejo aún lo hacemos de vez en cuando|P
21|@pastafruli Te hamo juerte guachita!|P
22|lo único que quiero es saber si sharon sabe a quien se refiere rey y si matteo se queda o se va nada más disney #TerminoSoyLuna|NEU
23|@diebamu debe tener la duda si convoca a los de la altura o a los del llano o los que se adaptan a las dos !|NONE
24|@ber_uy Lindo buzo por cierto|P
25|@wilfredotuntun se vienen tiempos dificiles|N
26|@rickymanjarrez miraré el programa completo y ya esta gracias me encanto lo que escribiste sobre marc y jlo en la foto q RT Gracias!!|P
27|Pensar en esa posibilidad nada mas me parte al medio y no quiero saber si llega a ser asi como me puedo llegar a poner|N
28|No me dejan irme tranquilo|N
29|@SoyAria Hermosos! Hoy Cris fue tt otra vez, como en cada final de GH, a años de q haya sido ganador. Fue el mejor!|P
30|Todo depende de ti. La ayuda es buena Pero todo lo que pasa y va a pasar en tu vida va a depender únicamente de vos|P
31|@_anatabeira que bien ! cada vez que salgo la gente me saluda pero el otro día salí con la del FA y fue impresionante !|P
32|@perezfedullo si ! y el que votaba observado era uno adentro de otro, pero si votó mucha gente y eso esta muy bueno !|P
33|@pablosilart En la escuela te deberían haber enseñado que lo sano es tratar de superarse a uno mismo, no mirar a los otros @JavierdeHaedo|N
34|@GScharrua ¿Y tu? ¿Contame que les dan a las focas en el zoo? jaaja Gracias por hacerme reir gratis, TODO LO DEMÁS TU GOBIERNO LO COBRA|N
35|@DeLaFigurita Si obvio! unos patines|NONE
36|Tarde con mi peque #Broh|P
37|@PPTeamLesslie me pone taan triste q no puedan venir a uruguay o no quieran y no hagan un show asi ojala vengan y hagan algo como en arg|N
38|@Will2380 ¡Hola! Cada uno es para una funcionalidad de la app Si nos envias un mail por privado te lo podemos elicar al detalle!|NONE
39|@agusti_pena No te creas Agustín, te paso el dato q antes habían 7 mujeres x cada hombre y ahora hay más hombres q mujeres, así q PILAS|NEU
40|@Enana1515 Lo se,pero ahora entiendo lo que es querer y no ser querida,yo se que voy a superarlo y estar bien,mientras nunca me dejes vos|NEU
41|@Enana1515 NO TE LO MERECES ESO ESTA CLARO,pero de esto se trata de superar todo yo estoy al firme mami y ya van a llegar las buenas|P
42|"X un error ""inexcusable"" d un fiscal y una jueza q absolvieron a un pedofilo,ellos fueron trasladados y no sancionados. Justicia? No hay."|N
43|yo soy una persona que cuando es sabado o domingo se queda dormida hasta las 1 o 2 de la tarde jajajja :V|P
44|me gustaría volver a sentir q tu me miras, sentirse la única persona en tu vida, rozar tu cuerpo sin preocupación alguna y ver como me|P
45|@acules cómo lo subiste? Yo lo único que puedo hacer es dar dar el cel contra la pared y no sube de nivel nunca|N
46|@louisaphire mi botella de agua fav gracias por ser tan linda conmigo y siempre apoyarme en todo, te mereces lo mejor te amo y te extraño|P
47|Que hermoso esta el solsito|P
48|Hoy la veo poquito creo|NEU
49|"@DrLMelchor Muy bueno lo de ""... y creemos una Real Sociedad de Cientificos... Bueno, o Real o no!"". Muy de acuerdo con lo que dices"|P
50|Estoy twitteando mucho para olvidarme que cerca de casa esta lleno de cosas voladas y tengo el mar a punto de romperme la ventana|N
51|@ValenTamara3 es una adolescente lesbiana, re callada, rara. No está mal la película pero como te digo, capaz no te cuelga. De nada|NEU
52|@joelalsolo ta bien hablo de penarol ! viste que le ganamos a lanús que fue el campeón de argentina y ganamos la copa río de la plata ?|P
53|@tatyynacional pero si estoy sentado|NONE
54|@GroseroKesman @perezfedullo seguramente nacional se dejó ganar por que el q tenía que festejar era fénix ! por lo menos así lo veo yo !|NONE
55|@sebtsb ay seb como haces para usar zapatos sin medias otzea a mi me lastiman todo arriba de él talón btw esos son los Adidas que quiero.|NEU
56|@dannyviLe Lo que no es razonable es que tres encuestas, hechas en la misma fecha, le den 2%, 3% y 8% Todo puro humo.|N
57|Me sigo sintiendo re agotada|N
58|Direectv y otros momentos lindos|P
59|@Alita_ntvg Te amo con todas las letras.. halla y acá. En buenas y no tanto. Ahi estoy, siempre con vos. Como vos conmigo, bombonazo.|P
60|bien @PlazaColonia ! no ganaron y no perdieron x goleada en los 90 y ganaron por penales ! no era lo q quería pero bien x ustedes|P
61|@auronftomg lol, eso es horrible En Green Day dijeron que este año sale uno nuevo, ya me estoy impacientando y el hype is real|NEU
62|@perroju666 Tenemos, pero (1) no dura nada, porque la carga es terrible y (2) reemplazar las baterías nos sale carísimo y nunca hay plata|N
63|@EuniceCastroC a mi tambien me gusta la primera ves que la vi fue en una revista de national geographic .tendria 10 años besos bella|P
64|Che náutico! ahora vas a saber lo que es sentarse ante un juez. Mirá que se mueve la cosa por suerte para nosotros #JusticiaPorSofía|NEU
65|Los mejores abrazos sin dudas|P
66|@mvdsister @elpaisuy my god!!! Se sabe si hay alguna tolerancia? O venderemos el auto xa pagar multas? Cdo tienen razon la tienen|N
67|@joelalsolo a mi sobrino mas chico se le había roto la t la g y la b ahí eras un poco complicado hablar con el !|N
68|Igual nadie quiere conmigo ajjajaj|N
69|Esto de tener un hijo ya grande es una ventaja .... lo podes mandar a la sociedad a buscarte los remedios ... cco @nicolascabrera4|P
70|@_anatabeira no ! lo que pasó es que me agarró en av.giannattasio al lado de TI y no en lugares lindos como a ustedes !|N
71|@AYATOlSMINE @LEVIFANCY Es un header de arctic monkeys pero está re bueno el icon, lo hice hace como 3 años, lo uso desde el año pasado|P
72|Loco yo desde el sábado estoy pensando en lo divino que es el hermano de Vanesa Britos jajajaja, eu queria uma foto com ele nao com ela|P
73|"@cuervotinelli @MathiCalfani lo mejor para vos De un fanático ""azulgrana"" (de la UA)Te lo merecés...Sos tan crack que zafaste del clásico"|P
74|Primero fue buscando a Nemo, hace un par de semanas a Dory y ahora a un Pokemon Jonny la gente esta muy loca!!!!|N
75|el agu me dejo solo|N
76|@gen_ghibli Vi Kaze Tachinu hace dos noches... Me encantó, aunq es diferente a lo habitual de Miyazaki. Y lloré en el final...|P
77|cartoon network censura las parejas gays en steven universe y no censura el humor negro de gumball o la violencia de dragon ball z hdps|N
78|¡¡Buenos días!! Ya somos 996 en el canal, así que hoy tendré que grabar mi reacción llegando a los 1K Que pasen un #BuenViernes|P
79|Solo porque es viernes yo sigo en la cama y me da igual llegar tarde... Igual, ya me estoy levantando...tampoco vamos a abusar...|NEU
80|@MarioGorgo @Dennis08481468 @huesopintos eso fue lo peor ! y el cooper no me lo compro ni loco ! tengo mejores opciones y mas baratos !|N
81|Un Gorditoo lleno de sentimientos|P
82|Tranquila, lo vas a superar.. solo estaras tristes unos dias. .desahogate, llora.. no hables con nadie.. solo sacalo. Pronto estaras bien|P
83|Están buenos los temas de biología, se entienden. Lastima que la divina de Cecilia siempre busca la forma de sentarnos a todos|NEU
84|Buen diaaaa... Al menos hoy voy más tarde al trabajo porq ayer me quedé más de media h dsp de mi hora de salir...|P
85|@marianabolonini es la sensación q siempre he tenido fte a la crueldad y el horror, además de la rabia... por qué? Es incomprensible...|N
86|Hoy se intento hablar de cannabis en Esta boca es mía y fue algo incómodo, hubo q elicarle a una chica trans cómo discrimina a usuarios|N
87|@PabloMonti1 me esta pasando lo mismo hace una semana y n tomo mate estaré atenta a los doc matriculados q te den respuestas por acá jaa|NEU
88|Extraño tanto a mi Bro Ale!Las salidas,los consejos,las jodas con la peña! Todo me hace tremenda falta!|N
89|flor -que lindo lo que escribiste en tu tuit fijado -no se quien es pero espero que lo abraces -linda cuenta !!¡|P
90|"""La realidad es mucho más fuerte que la ficción, la realidad huele, tiene familiares llorando"" @mikelayestaran Gracias por la skype-call!"|N
91|"Curioso. Entre ""a mi nadie me pautea"" y ""me entere por la prensa"", ahora queremos un periodista lider de opinion presidente. Genial"|N
92|@mor_ticia no aguanté a la trotsky, sali a fumar y aparecieron unos tipos re cargosos a hinchar los huevos asi que me fui antes|N
93|Se siente la risa a carcajadas de fondo ,de la madre y encima aplauden ,un horror con esos amigos ,no precisas enemigos nena|N
94|@pulsionparcial Derrota por amplia diferencia?|NONE
95|@VeronikMGWV hoy dia tiene 9 meses mañana te paso fotos actuales ,si es un zorro adorable ,llego a mi vida en un momento justo lo adoro|P
96|No compitas con nadie, no tienes que demostrarle nada a nadie, no tienes que llegar a donde otro llegó, solo superar tus propios límites.|P
97|@ElCrull Jajajaja a que mala impresión|N
98|En la Red dijeron que si llega pablo Perez le abren la puerta de salida a Mendez maal mal mal deben jugar los 2 junto a Toro|N
99|Cuando la comunidad del lol es una mierda  Pero la de Pokémon es buenísima Pero salió Pokémon GO y ahora son todos possers|N
100|@UnBolasTristes En eso tenes razon jjaaa|P
101|@AlmaHistorica doy fe son espectaculares!!|P
102|"@andyygmes eres como muy tierna jajaja justo veía el ""40 cosas"" me lo pase genial! Si algún día voy a Berlín sería genial verte"|P
103|#Fiebre #dolorentodoelcuerpo... con #hijobello de enfermero e #hijospeludos|N
104|@OTROGUAPOSUELTO @ModaDiceEs @vine YA ME INSTALE LA APLICACIÓN Y ME COMIÓ EL COCO !! seré un inmaduro? Tengo 34 pirulos : p !!|NEU
105|Informatica (computación) - 8 No se porque tengo esa nota si yo lo único que hago es entrar a hangouts y chatear con gente rara|NEU
106|"@Cybertario Es como ""no escupir para arriba"", me extraña que el corporativismo (o las transnacionales lo hagan ir a lo literal"|N
107|@vmayo72 yo si esta lindo me voy pa la feria ! hoy fui y lo único que compré fueron 5 paltas a 100 mangos|P
108|@TownGamePlay Townsitoo, podrías saludar a mi mejor amiga Titi? es animatowner, y está pasando por un mal momento familiar Gracias!|NEU
109|El propio dolor de panza|N
110|@cuervotinelli @elchatoprada @hoppefede @ElchuecoSuar Buenos días !! ...|P
111|@visigoten el folio lo tenía en cosas de su oficina mi padre, se jubiló y di con el. vi si quién es coordinador general!!|NONE
112|@zeta_dos Ojalá todo sea para bien, pero veo en este gobierno vicios distintos al anterior, pero fallos en fin. Pero ya se verá q pasa.|NEU
113|Leyendo el fin de los tiempos y escuchandi mumford & sons... todo esta perfecto|P
114|En mi vida siempre pasan personas, De esas que valen oro, pero nunca vas a tener. De alguna manera es muy lindo ilusionarse|NEU
115|@_pepepar Bueno, eso viene por el lado de los apellidos. Hay quien usa apellido doble porque el 2do tiene más alcurnia que el 1ro|NEU
116|@leonardo_veglio Tu argumento es un poco personal. Pero sí, las cosas se terminan. A algunos en 115 años, a otros en 15|N
117|"@VickyMarquez__ Si le pareces fea no te la comenta , te quiere re garchar pero no sabe como decirlo y un ""Linda"" no queda"|NEU
118|Voy a intentar jugar al truco, al que le toque jugar contra mi internet lento, perdóname, no es mi culpa|N
119|"@Maapolinski Bastante ridículo. Incluyendo eso de que parte de la morosidad es de ""afiliados que murieron"" y no fueron dados de baja"|N
120|esa no me gusta sorry|N
121|.@cocoramazzi Ja, ja, muy gracioso. Teniendo en cuenta que tu posteo inicial es el elogio de un artículo lleno de odio y resentimiento.|N
122|@RufinaCamejo Ud. dele que Ud. puede. Y si te critican les tirás que lo hacen porque sos mujer y estás salvada @diego_vallarino|NEU
123|@JuaniTinelli_1 Tqm !! Tas re grande y linda Besos para tus hermanos  !!|P
124|@2891891cap me qedo en lo de joaco tengo q agitarlo para ir algo difícil q vaya y q me deje ir sola menos asi q no se|NEU
125|No puedo creer que estoy llendo por una hora sola al liceo nono que onda voy por 45 min nada mas mejor no podia ser|P
126|@elchatoprada @hoppefede Buen día !!|P
127|@cuervotinelli Buen día P@!! , excelente Viernes , te veo hoy a las 23:00 hs .TQM  !!|P
128|@AlpioCosta hola, hace mucho q no t veo @arribaarg q pasó? te veía todos los dias desde Uruguay.la verdad q se t extraña chiquilin. volvé|NEU
129|@cuervotinelli @elchatoprada @hoppefede Recién llegue del gym VOLANDO !! , así los veo , duchaso y toy listo  !!|P
130|Y un poquito de vino..|NEU
131|Plan familia a full, después una linda recorrida por Argentina. ¡Volvimos nuevos y contentos! ¡Viajar y tocar lo máximo!|P
132|@daphneedenis corazón lleno de odio!|N
133|@cuervotinelli Buen día para el Conductor televisivo número 1 de América  .TE AMO CON TODO MI CORAZÓN P@;3, te veo luego a las 22:30hs|P
134|@ElDemonioAzteka prefiero la verdad por más dura que sea y no vivir en el engaño de la mentira !!! Te mando un beso desde Uruguay|NEU
135|@TipicaLoca que lindo ! en casa entró uno y no podía salir y se dio contra un vidrio y lo agarre para sacarlo y son super suavesitos|P
136|@vivianagarcia73 @anitafb Muchas gracias Sandra por tu ayuda y esperamos que los tips sean útiles para Anita. Seguimos en contacto!|P
137|@cmenghi A menos q seas empleado de Riogas, Alur, INR, IMPO, vicepresidencia o cosas así. Tener título está sobrevalorado @Nico_Selser|N
138|@cuervotinelli Muy buenos días para mi papá que lo adoro con todas mis fuerzas  ... Excelente Martes !!!|P
139|.@sebafle @diego_vallarino jaja a mi favor debo decir q tampoco es un descubrimiento mío, sino de mi hermano,y aseguro q es independiente|NONE
140|@mister__lemon No, claro que no. Es convenir aspectos puntuales en los que haya acuerdo. Helado y con barquillo, pero varía el gusto|NEU
141|"Haciendo el Notitest de @TelenocheOnline, me salió ""Eerto en Noticias"". Que veterana que estoy"|N
142|Y estavamos los dos buscando la manera de desir quien de los dos da el primer paso.!! #ESCUCHANDO #DOSOGAS Sola En Casa...|NEU
143|@MHackem No Cecilia, lo que hacemos está muy lejos de ninguna aplicación práctica. No me arrogues méritos que no tengo|N
144|@felipefskl No necesariamente. Quizá se necesita alguien que apueste a ganar mintiendo, por única vez, y haga lo que hay que hacer|NEU
145|@TipicaLoca lindas ! y son super mansas ! las fui apurando tocándole las patas traseras y se tomaron su tiempo ! no las apuras mucho...|P
146|@golden254 @yapeze Jajaja! Sí, leí! Creo que por acá no los tendremos hasta el 2018, por lo menos.|NONE
147|@Lpauletti Comprobado: Se puede estar en el fondo de un pozo...y seguir cavando la propia fosa. Y aun hay gte q definde|N
148|@cuervotinelli miércoles, sábados y domingos son los peores días para mi TE EXTRAÑO !!|N
149|La negra Mel que se haga del Bolso tamos todos los compadres y ella de galli deja nos re gozariamos en la abdon negra|NEU
150|@BrandonBouer aunque ya no hablemos,no me olvidé de tu cumpleaños #Felíces21 Bouer!!,espero que te la hayas pasado de lo mejor,saludos|P
151|Necesito ir a la peluquería pero no quiero ir a un que me deje el pelo horrible como la mayoría|N
152|@quijanojor jjajajaja. Mi segundo amor es Rampla, el equipo de mi papá querido... Gte de barrio, obreros, flia.|P
153|@htgawmurphy no vi el nuevo cap y no lo voy a hacer hasta que digan que caleb está en al menoS UN CAP de la s2|N
154|La supuesta federación de estudiantes que opina y toma postura en cuanto tema de izquierda hay, no dice nada del universitario Sendic|N
155|Tube que sacarle una tabla al ropero para que renzo ponga su ropa en mi lugar se pasa el pendejo|N
156|@Tocinitas @sessh0marusama gracias a las 2! mi amiga necesita lectores El fic (por si no se ve el link) está el link en mi tw fijado|P
157|Me tiene podrida no ver|N
158|@cuervotinelli @demianchildemb1 Un solo corazón !!. Te amo Viejo :*, que descanses, me fui a dormir... Me gustaría soñar con vos|P
159|Recién grabado el Nuevo vídeo (Ahora a entrenar una horita y luego baño como algo y me pongo a editar) #BuenLunes Para TODOS #FelizLunes|P
160|@KesmanAlberto Sí increíble! Mi madre decía que eras tú y cuando dijeron que era Solé... Pensamos: es igual a Kesman!|NEU
161|@Adri_tranqui eso ! en no escuchar el despertador ! y te dormís nervioso ...con miedo...y peor es cuando te acostumbraste a dormir tarde|N
162|@ciudad_com @cuervotinelli  !! El más lindo de todos ...|P
163|@RoSo_54 te acordas de lo que decía el ñato al respecto ? pelea a muerte con novick !|NONE
164|98% de los circuitos escrutados en Colombia. 60% de abstencion. Gana el No. #PazParaColombia|P
165|@psaccone @GGhelfa Es cierto, estimado. Pero el dcho de opinión lo tienen todos los hinchas de Peñarol, somos más de la mitad del país.|NEU
166|@juamigcaz es muy responsable y profesional, pero además va muy bien con el estilo de tu club, tiene mucha garra. Un crack!|P
167|lo peor es que no voy a poder ver el cap de greys hasta que vuelva de clase|N
168|@DonVascolet Lo echan al toque jajajaa|N
169|Una Fiat Panorama del 78 encendida fuego al lado del cajero me dio una lastima solo quedo la chapa y el chasis y un poco el motor|N
170|Un amigo no para de mandar fotos de tremenda borrachera diurna en Melo y uno acá estudiando al moderado de Montesquieu. I'm suffering|N
171|@Nifunifa4 Yo no trabajo ningun feriado|P
172|@Sofiarayl feliz cumple sofi!! justo hoy no me toco ir al canal!! Que pases bomba!!! Beso grande!|P
173|¡Qué lindo escuchar que estás muy comprometida con tu trabajo @vivianagarcia73 ! Ojalá ganes muchos más proyectos freelance|P
174|Jajajaja mejor que no me la robes Igual vos empezaste!!|NEU
175|3:23 AM instalando todo en un celular de emergencia y a ser paciente porque es lentoooooo pero me salvo otra vez|NEU
176|Hoy quedo pronta la tapa. Y que dificil se hace aceptar tu ausencia... Viejito mio te extraño mucho|N
177|No tuviste infancia si no mezclaste todas las plastilinas con la esperanza de que quedara multicolor y te quedó una cosa marrón asquerosa|N
178|@cuervotinelli Podes hablar con el Gurca?? YO SOY PUNTUAL !!|NEU
179|quería meter siesta entre sesión y sesión de la confe pero ya casi aranca la segunda parte|N
180|"@abbu25 compre ""Hasta Borinquen"" por internet a ver si aprende un poquito y no dice bobadas!"|N
181|@GermanDeJuana Bon jour German Buen día|P
182|Increíble ellos @rafacotelo @diegodelacurva acá en Melo, unos grandes!!!! Voy a cholulear y pedir foto|P
183|Uhhh, no me había dado cuenta de la hora tremenda que se hizo. Habrá que despedirse hasta mañana... o hasta algunas horas, je.|NEU
184|@shxwngold uy jajjaa bueno lo siento|NEU
185|@javierandresh amigo mio no se si es más complicado que te hable una piedra o alguien a quien el corazón se le hizo de piedra|N
186|Es tarde ya bendiciones mimosos|P
187|Anto te extraño veni a cuidarme|NEU
188|@Jayah29 ah ta, me pareció por tu twett sobre el petiso que aparentemente no era lo bien dotado que esperabas|N
189|@cuervotinelli Buen día P@!!, Excelente Jornada de Viernes, TE VEO HOY A LA NOCHE  !!|P
190|@cuervotinelli @elchatoprada @hoppefede Buen Día !! , que tengan un excelente fin de semana y un buen descanso merecedor  !!|P
191|@felipellambias está claro que hay clientes que pagan agencias para hacer lo que quieren y no lo que corresponde. Queda camino x recorrer|N
192|Levantarse muerta de sueño, sentarse en la orilla de la cama y quedarse mirando un zapato|NEU
193|"Hoy transité un rato largo. La frase que más escuché fue ""arrepentido... de haberlos votado""."|N
194|@leot1971 @topyman980 lo de nacional ! en este campeonato creo que no va a haber #PenalParaNacional ! no hubo arreglo|NONE
195|@Adri_tranqui yo estoy trabajando en frente de una ventana abierta...buee lo de trabajar trabajar voy y vengo|NEU
196|@dosogas Buen dia mis amores, no fui al liceo(sisisiiis) ja tremenda bobita jaja LOS AMO|P
197|@FabianImaz es solo para estresar a @kzfabi @NETConfUY|N
198|Había alerta y yo vine igual|NONE
